SFID,count
2,3287
107,2176
4,1870
71,1484
105,1152
6,1100
3,1084
102,1040
51,950
52,752
154,630
72,566
76,563
86,555
81,533
1,471
9,393
94,389
27,381
75,378
136,354
26,319
89,310
65,308
124,306
92,295
82,292
93,288
110,276
208,273
704,257
707,247
183,231
11,229
5,213
97,213
135,206
147,204
138,202
46,199
716,198
706,187
53,185
190,182
21,180
17,177
61,174
98,173
90,172
734,170
24,165
83,163
709,162
170,158
174,156
749,150
736,149
133,145
125,138
106,137
84,133
78,132
159,129
714,124
195,120
5080,118
77,108
12,105
684,105
153,102
140,98
117,98
58,97
85,97
114,93
127,93
142,92
705,89
79,89
721,89
701,88
164,83
279,80
196,79
505,78
188,77
120,75
87,74
88,73
143,73
715,71
28,69
165,68
735,67
302,66
722,61
80,60
194,59
157,57
108,55
724,54
33,53
137,51
13,51
526,51
34,51
504,50
720,50
128,47
703,45
163,44
116,43
512,43
187,40
315,40
99,40
725,38
303,37
132,36
189,34
306,34
305,34
49,33
60,32
718,30
162,29
245,29
191,28
248,26
620,26
655,26
57,25
73,24
261,23
29,23
225,23
325,22
5005,21
278,21
313,19
197,19
728,18
561,17
150,17
14,16
712,16
113,16
134,15
317,15
25,15
112,15
130,15
109,15
175,13
333,13
337,13
309,13
311,13
264,12
37,12
101,12
570,12
217,12
167,11
103,10
247,10
20,10
42,10
32,10
122,9
341,9
503,9
584,9
23,9
146,9
151,8
308,8
340,7
56,7
578,7
312,7
511,7
710,7
31,6
318,6
5012,6
347,6
551,6
354,6
334,5
144,5
203,5
617,5
276,5
750,5
121,4
625,4
682,4
176,4
314,4
111,4
149,4
719,4
332,4
356,4
35,4
36,4
538,4
5013,4
331,4
43,4
349,4
345,4
249,4
324,3
321,3
5002,3
5008,3
274,3
366,3
367,3
411,3
263,3
244,3
185,3
711,3
417,2
805,2
262,2
5011,2
528,2
339,2
405,2
412,2
260,2
379,2
541,2
171,2
5007,2
10,2
18,2
5001,2
426,1
1050,1
210,1
209,1
557,1
586,1
806,1
19,1
259,1
397,1
509,1
5202,1
342,1
265,1
353,1
439,1
330,1
319,1
5010,1
5006,1
5003,1
316,1
15,1
628,1
68,1
726,1
