SFID,count
107,1183
157,1084
125,881
2,739
620,708
71,566
105,439
152,349
82,345
19,330
570,315
153,307
505,307
189,306
7,295
150,288
1,284
51,281
78,277
8,276
58,274
74,272
73,254
109,253
108,251
504,237
79,235
165,197
154,195
116,185
130,183
92,180
208,179
187,170
124,161
68,158
11,158
716,157
158,156
87,152
144,150
4,146
39,145
190,139
140,139
20,139
88,138
193,138
61,125
83,121
90,105
26,101
55,99
512,95
112,88
76,88
81,88
121,83
163,80
3,77
113,73
52,71
98,70
710,68
159,61
86,61
217,61
541,60
188,60
307,59
53,57
17,55
314,53
226,50
241,49
12,47
101,47
18,46
734,45
245,45
578,44
301,44
645,43
89,43
736,39
313,38
65,37
706,37
35,36
162,35
191,35
134,35
279,35
72,34
9,33
244,33
623,33
6,32
142,31
102,30
143,30
33,28
21,28
702,27
542,27
551,26
701,26
203,26
305,25
185,23
708,22
247,22
170,22
705,21
56,21
114,20
146,18
93,18
719,18
75,17
5262,17
506,17
84,16
110,16
723,15
584,15
321,14
725,14
94,14
183,13
310,12
309,12
106,12
655,12
195,12
503,12
27,12
111,10
5080,10
304,10
724,10
103,10
316,10
450,9
80,8
722,8
264,8
44,8
64,8
57,7
99,7
318,7
49,7
28,6
306,6
194,6
749,6
46,6
77,5
147,5
29,5
127,5
85,5
120,5
269,5
5293,5
5282,5
119,5
625,4
325,4
225,4
704,4
128,4
808,4
177,4
720,4
312,4
712,4
703,3
393,3
5,3
24,3
410,3
418,3
682,3
149,3
36,3
97,3
721,3
425,3
728,2
5099,2
338,2
510,2
196,2
5010,2
714,2
660,2
171,2
341,2
160,2
707,2
13,2
809,1
526,1
5280,1
807,1
133,1
684,1
709,1
345,1
356,1
176,1
413,1
417,1
60,1
628,1
639,1
151,1
5202,1
524,1
5009,1
249,1
5060,1
750,1
135,1
137,1
14,1
336,1
