SFID,count
2,3533
107,2714
4,1903
71,1717
105,1372
3,1125
6,1113
51,1077
102,1046
52,776
154,768
86,587
76,585
81,575
72,568
1,558
125,446
9,411
124,409
82,402
94,396
27,383
75,380
26,374
92,373
208,361
136,354
65,332
89,325
93,293
716,281
110,281
11,267
704,257
78,250
707,247
183,237
153,230
53,230
17,228
157,217
5,215
97,213
61,207
147,207
135,206
706,205
138,202
46,201
83,200
90,190
190,184
140,183
98,183
21,182
58,170
734,170
736,169
170,168
24,167
709,162
116,157
174,156
79,156
749,152
106,147
133,146
159,145
108,144
84,137
195,132
165,125
5080,125
714,125
12,125
570,124
87,121
88,121
188,120
142,117
77,112
504,112
114,111
701,108
279,107
187,107
684,106
143,101
85,100
117,98
705,97
189,97
127,96
112,95
721,89
164,83
505,81
196,81
512,79
150,78
120,78
33,74
715,71
28,71
620,70
19,67
735,67
302,66
722,65
80,65
73,64
194,63
163,60
113,60
724,60
191,58
305,53
162,53
720,52
128,51
13,51
137,51
34,51
526,51
109,48
703,48
725,46
99,44
315,40
306,40
130,39
49,39
303,37
313,37
655,37
132,36
217,35
245,35
244,34
301,33
60,33
718,30
57,28
225,27
248,26
325,25
134,25
56,24
247,24
146,23
29,23
261,23
584,22
578,22
101,22
278,21
5005,21
35,20
712,19
197,19
728,18
561,17
710,16
264,16
14,16
309,16
25,15
317,15
18,15
541,14
314,14
337,13
333,13
318,13
175,13
551,13
311,13
37,12
103,11
167,11
20,10
42,10
341,10
503,10
32,10
144,9
151,9
23,9
122,9
121,9
308,8
312,8
36,7
226,7
340,7
682,7
511,7
111,7
68,6
5012,6
347,6
31,6
719,6
203,6
354,6
750,6
176,5
276,5
249,5
617,5
356,5
321,5
334,5
149,5
331,4
185,4
345,4
7,4
625,4
538,4
43,4
5013,4
349,4
332,4
723,4
5002,3
411,3
367,3
711,3
324,3
410,3
5008,3
274,3
263,3
366,3
379,2
405,2
528,2
5010,2
417,2
425,2
5001,2
5007,2
5011,2
316,2
5202,2
171,2
805,2
412,2
260,2
262,2
702,2
628,2
10,2
339,2
726,1
1050,1
342,1
319,1
806,1
808,1
809,1
586,1
259,1
265,1
418,1
426,1
439,1
44,1
5003,1
5006,1
557,1
5009,1
509,1
330,1
353,1
397,1
209,1
210,1
15,1
