SFID,count
157,791
620,591
2,373
152,349
107,338
125,320
505,301
7,278
8,276
74,272
71,251
19,246
189,222
150,198
109,167
105,152
158,150
130,145
39,145
68,144
79,141
1,140
20,139
193,138
570,135
58,135
82,134
190,126
153,115
504,114
4,104
144,99
165,95
78,93
51,88
108,82
55,77
87,75
121,70
83,67
90,63
307,59
208,58
187,56
163,55
116,53
92,49
241,49
512,48
73,48
716,48
76,45
710,44
11,44
98,43
645,43
734,41
159,41
541,40
52,39
61,39
88,37
81,37
101,35
226,33
623,33
314,33
124,28
3,28
542,27
217,26
86,25
154,25
18,25
140,23
578,23
89,22
708,22
134,22
185,21
203,20
102,20
72,19
702,18
706,17
6,17
506,17
12,16
551,16
5262,16
75,15
26,15
113,15
313,14
21,14
736,12
310,12
27,10
93,10
35,10
84,10
321,10
705,10
65,10
301,9
450,9
162,8
9,8
719,8
304,8
316,8
309,8
103,8
110,7
94,7
188,6
5282,5
29,5
503,5
119,5
5293,5
722,4
701,4
704,4
723,4
177,4
53,4
99,3
44,3
17,3
724,3
245,3
33,3
28,3
625,3
721,3
393,3
97,3
312,3
111,3
808,3
46,3
183,3
85,2
57,2
279,2
160,2
720,2
749,2
728,2
725,2
660,2
170,2
127,2
149,2
707,2
13,2
338,2
80,2
112,2
305,2
341,1
345,1
524,1
135,1
77,1
807,1
244,1
194,1
655,1
49,1
5,1
325,1
709,1
712,1
714,1
5010,1
5060,1
639,1
64,1
24,1
413,1
417,1
418,1
425,1
56,1
247,1
264,1
269,1
336,1
137,1
14,1
146,1
106,1
