SFID,count
2,3653
107,3021
4,1912
71,1799
105,1439
51,1143
3,1133
6,1115
102,1050
154,800
52,784
125,699
1,615
76,606
86,591
81,584
72,581
82,503
124,439
92,426
9,418
26,405
94,396
208,394
27,383
75,380
136,354
157,350
11,343
65,335
89,331
78,316
716,307
93,296
153,294
110,285
61,260
704,257
707,247
183,241
53,238
58,236
73,230
17,229
108,224
83,217
5,215
140,214
90,214
97,213
147,209
706,207
135,206
138,202
46,202
98,200
190,195
21,194
570,192
79,183
170,178
736,176
116,175
734,174
88,174
504,173
165,170
24,167
709,162
174,156
187,154
749,154
87,151
159,149
106,148
133,146
620,143
84,139
12,136
195,132
188,131
5080,128
714,125
142,123
189,118
114,113
279,113
77,112
701,110
150,107
684,106
143,103
112,101
109,101
85,100
705,100
117,98
127,96
512,90
721,89
19,85
505,84
164,83
196,81
120,80
33,78
113,74
28,72
715,71
245,71
163,69
735,67
302,66
80,66
722,65
194,64
191,63
724,61
305,57
144,56
162,56
130,53
720,52
526,52
137,51
128,51
13,51
34,51
725,50
217,49
703,48
99,44
313,43
315,40
306,40
49,39
303,37
655,37
132,36
301,35
244,35
60,33
710,31
247,31
718,30
35,30
57,30
134,28
578,28
225,27
56,27
146,26
248,26
325,25
101,24
314,24
584,24
29,23
18,23
261,23
541,22
55,22
5005,21
278,21
264,19
712,19
197,19
728,18
226,17
121,17
561,17
309,17
7,17
14,16
551,16
503,16
68,15
25,15
317,15
719,14
311,13
175,13
337,13
333,13
318,13
103,12
37,12
167,11
723,11
203,11
111,11
42,10
20,10
32,10
341,10
702,9
23,9
151,9
122,9
308,8
312,8
321,7
682,7
64,7
36,7
340,7
511,7
354,6
31,6
5012,6
158,6
347,6
750,6
44,5
617,5
249,5
625,5
334,5
176,5
185,5
356,5
149,5
276,5
349,4
345,4
43,4
269,4
171,4
5013,4
331,4
332,4
538,4
274,3
711,3
263,3
324,3
316,3
366,3
367,3
410,3
411,3
5002,3
5008,3
5001,2
805,2
5007,2
405,2
262,2
260,2
10,2
5099,2
510,2
412,2
379,2
339,2
304,2
628,2
5010,2
5011,2
425,2
418,2
528,2
417,2
5202,2
5003,1
397,1
726,1
808,1
809,1
806,1
1050,1
5006,1
353,1
15,1
259,1
330,1
319,1
342,1
426,1
439,1
557,1
210,1
209,1
586,1
5280,1
5262,1
5009,1
509,1
265,1
