SFID,count
2,4011
107,3359
71,2044
4,2011
105,1591
51,1231
3,1161
157,1141
6,1123
102,1070
125,1019
154,825
52,823
1,755
620,734
76,645
82,635
81,618
86,614
72,599
92,469
124,467
208,452
9,422
26,420
78,409
153,409
94,403
75,395
27,393
11,387
505,385
58,371
136,354
716,353
89,352
152,349
65,345
189,340
570,326
79,324
190,321
93,306
108,306
150,305
61,299
7,295
110,292
504,287
83,284
73,278
90,277
8,276
74,272
109,268
165,265
704,261
707,249
183,244
98,243
53,242
140,237
19,233
17,232
116,228
87,226
706,224
97,216
5,216
734,215
88,211
187,210
147,209
21,208
135,207
46,204
138,202
130,198
159,190
736,188
170,180
24,168
709,162
68,159
174,156
158,156
144,155
12,152
749,152
106,149
84,149
20,149
133,146
39,145
193,138
512,138
188,137
195,132
5080,128
714,126
163,124
142,123
279,115
701,114
114,113
77,113
705,110
684,106
112,103
143,103
85,102
55,99
127,98
117,98
721,91
113,89
121,87
164,83
196,81
120,80
33,79
710,75
28,75
245,74
217,73
715,71
722,69
735,67
302,66
80,66
194,65
724,64
162,64
191,63
541,62
307,59
101,59
314,57
313,57
305,57
720,54
13,53
725,52
526,52
137,52
128,51
578,51
134,50
226,50
241,49
34,49
18,48
703,48
99,47
301,44
645,43
49,40
315,40
306,40
35,38
655,38
303,37
244,36
132,36
623,33
60,33
551,32
57,32
247,32
203,31
718,30
56,28
29,28
146,27
542,27
702,27
225,27
185,26
248,26
325,26
309,25
584,24
261,23
719,22
708,22
503,21
5005,21
278,21
264,20
728,20
103,20
712,20
197,19
5262,17
561,17
14,17
321,17
506,17
723,15
25,15
317,15
111,14
175,13
333,13
337,13
318,13
311,13
310,12
37,12
167,11
312,11
341,11
316,11
304,10
32,10
42,10
151,9
450,9
122,9
23,9
625,8
44,8
64,8
308,8
340,7
511,7
149,7
682,7
36,7
354,6
5012,6
31,6
750,6
617,5
5282,5
119,5
276,5
345,5
176,5
249,5
356,5
334,5
5293,5
269,5
332,4
538,4
808,4
331,4
349,4
5013,4
43,4
171,4
177,4
324,3
5008,3
5002,3
5010,3
411,3
410,3
274,3
367,3
366,3
263,3
417,3
425,3
418,3
711,3
412,2
260,2
405,2
805,2
379,2
262,2
528,2
5202,2
628,2
5007,2
5011,2
510,2
5099,2
338,2
5001,2
660,2
10,2
339,2
347,2
160,2
524,1
5009,1
726,1
319,1
336,1
1050,1
330,1
5280,1
557,1
5060,1
509,1
5006,1
5003,1
639,1
210,1
586,1
259,1
439,1
426,1
397,1
265,1
353,1
342,1
809,1
807,1
806,1
209,1
