SFID,count
2,4002
107,3359
71,2044
4,2011
105,1591
51,1231
3,1160
157,1141
6,1121
102,1070
125,1019
154,825
52,823
1,755
620,734
76,644
82,635
81,618
86,614
72,599
92,469
124,467
208,452
9,422
26,420
78,409
153,409
94,403
75,395
11,387
505,385
27,379
58,371
136,354
716,353
89,352
152,349
65,345
189,340
570,326
79,324
190,321
108,306
93,306
150,305
61,299
7,295
110,292
504,287
83,284
73,278
90,277
8,276
74,272
109,268
165,265
704,261
707,249
183,244
98,243
53,239
140,237
17,232
116,228
87,226
706,224
97,216
5,216
734,215
88,211
187,210
147,209
21,208
135,207
46,204
138,202
130,198
159,190
736,188
170,180
24,167
709,162
68,159
174,156
158,156
144,155
749,152
106,149
84,149
20,149
133,146
193,138
512,138
188,137
195,132
12,130
5080,128
714,126
163,124
142,123
19,120
279,115
701,114
39,114
77,113
114,113
705,110
684,106
143,103
112,103
85,102
55,99
127,98
117,98
721,91
113,89
121,87
164,83
196,81
120,80
33,79
710,75
28,75
245,74
217,73
715,71
722,69
735,67
80,66
302,66
194,65
162,64
724,64
191,63
541,62
101,59
307,59
314,57
313,57
305,56
720,54
13,53
137,52
526,52
725,52
128,51
578,51
134,50
226,50
34,49
241,49
703,48
18,48
99,47
645,43
306,40
315,40
655,38
303,37
244,36
132,36
35,35
623,33
60,33
57,32
247,32
551,32
203,31
718,30
29,28
56,28
542,27
225,27
702,27
146,27
185,26
248,26
325,26
309,25
584,24
261,23
708,22
719,22
5005,21
503,21
278,21
728,20
103,20
712,20
264,20
197,19
49,19
14,17
561,17
506,17
321,17
5262,17
723,15
317,15
25,15
111,14
311,13
175,13
333,13
337,13
318,13
310,12
37,12
341,11
316,11
167,11
312,11
32,10
42,10
304,10
151,9
122,9
450,9
23,9
625,8
44,8
64,8
308,8
149,7
36,7
340,7
682,7
511,7
354,6
750,6
31,6
5012,6
276,5
301,5
119,5
176,5
617,5
334,5
356,5
5293,5
345,5
249,5
269,5
5282,5
43,4
177,4
5013,4
808,4
538,4
349,4
332,4
171,4
331,4
324,3
5010,3
5002,3
5008,3
711,3
410,3
411,3
367,3
274,3
425,3
263,3
418,3
417,3
366,3
260,2
5007,2
262,2
412,2
160,2
379,2
338,2
510,2
5202,2
628,2
5011,2
5099,2
528,2
805,2
5001,2
660,2
339,2
10,2
405,2
347,2
524,1
586,1
806,1
336,1
1050,1
726,1
319,1
330,1
5280,1
557,1
5060,1
5003,1
210,1
639,1
5009,1
509,1
5006,1
259,1
265,1
397,1
426,1
439,1
353,1
342,1
809,1
807,1
209,1
