,acid_alc,kingdom,count,total_count,percentage
126,LT,Fungi,37,449,8.240534521158128
127,LT,Pseudomonadati,122,449,27.171492204899778
128,LT,Viridiplantae,56,449,12.47216035634744
129,LT,Bacillati,112,449,24.94432071269488
130,LT,Metazoa,118,449,26.280623608017816
131,EI,Viridiplantae,10,353,2.8328611898017
132,EI,Metazoa,328,353,92.91784702549575
133,EI,Fungi,12,353,3.39943342776204
134,EI,Bacillati,3,353,0.84985835694051
135,KT,Metazoa,63,327,19.26605504587156
136,KT,Fungi,20,327,6.116207951070336
137,KT,Methanobacteriati,2,327,0.6116207951070336
138,KT,Bacillati,162,327,49.54128440366973
139,KT,Viridiplantae,51,327,15.59633027522936
140,KT,Pseudomonadati,13,327,3.9755351681957185
141,AN,Bacillati,3,309,0.9708737864077669
142,AN,Metazoa,306,309,99.02912621359224
143,FT,Bacillati,9,290,3.103448275862069
144,FT,Fungi,7,290,2.413793103448276
145,FT,Viridiplantae,1,290,0.3448275862068966
146,FT,Pseudomonadati,1,290,0.3448275862068966
147,FT,Metazoa,272,290,93.79310344827586
148,YT,Metazoa,83,139,59.71223021582733
149,YT,Bacillati,3,139,2.158273381294964
150,YT,Fungi,7,139,5.0359712230215825
151,YT,Viridiplantae,45,139,32.37410071942446
152,YT,Pseudomonadati,1,139,0.7194244604316548
153,GS,Viridiplantae,59,138,42.7536231884058
154,GS,Bacillati,19,138,13.768115942028986
155,GS,Fungi,8,138,5.797101449275362
156,GS,Metazoa,12,138,8.695652173913043
157,GS,Pseudomonadati,40,138,28.985507246376812
158,VS,Viridiplantae,20,124,16.129032258064516
159,VS,Bacillati,17,124,13.709677419354838
160,VS,Fungi,5,124,4.032258064516129
161,VS,Pseudomonadati,1,124,0.8064516129032258
162,VS,Metazoa,81,124,65.32258064516128
163,DG,Viridiplantae,36,117,30.76923076923077
164,DG,Metazoa,21,117,17.94871794871795
165,DG,Bacillati,2,117,1.7094017094017095
166,DG,Fungi,58,117,49.572649572649574
167,QS,Viridiplantae,29,105,27.61904761904762
168,QS,Fungi,6,105,5.714285714285714
169,QS,Bacillati,6,105,5.714285714285714
170,QS,Pseudomonadati,28,105,26.666666666666668
171,QS,Metazoa,36,105,34.285714285714285
172,DL,Metazoa,19,103,18.446601941747574
173,DL,Fungi,6,103,5.825242718446602
174,DL,Viridiplantae,78,103,75.72815533980582
175,EG,Metazoa,54,94,57.446808510638306
176,EG,Viridiplantae,25,94,26.595744680851062
177,EG,Fungi,11,94,11.702127659574469
178,EG,Bacillati,4,94,4.25531914893617
179,HN,Bacillati,4,90,4.444444444444445
180,HN,Pseudomonadati,1,90,1.1111111111111112
181,HN,Viridiplantae,1,90,1.1111111111111112
182,HN,Metazoa,3,90,3.3333333333333335
183,HN,Fungi,80,90,88.88888888888889
184,DI,Viridiplantae,7,87,8.045977011494253
185,DI,Metazoa,16,87,18.39080459770115
186,DI,Bacillati,1,87,1.1494252873563218
187,DI,Fungi,63,87,72.41379310344827
188,MT,Fungi,18,66,27.27272727272727
189,MT,Bacillati,7,66,10.606060606060606
190,MT,Metazoa,19,66,28.78787878787879
191,MT,Viridiplantae,4,66,6.0606060606060606
192,MT,Pseudomonadati,15,66,22.727272727272727
193,NS,Pseudomonadati,1,55,1.8181818181818181
194,NS,Metazoa,8,55,14.545454545454545
195,NS,Viridiplantae,35,55,63.63636363636363
196,NS,Bacillati,1,55,1.8181818181818181
197,NS,Fungi,9,55,16.363636363636363
198,KS,Metazoa,1,53,1.8867924528301887
199,KS,Fungi,2,53,3.7735849056603774
200,KS,Bacillati,34,53,64.15094339622641
201,KS,Viridiplantae,16,53,30.18867924528302
202,EV,Bacillati,22,52,42.30769230769231
203,EV,Pseudomonadati,2,52,3.8461538461538463
204,EV,Viridiplantae,9,52,17.307692307692307
205,EV,Fungi,1,52,1.9230769230769231
206,EV,Metazoa,18,52,34.61538461538461
207,EM,Viridiplantae,7,50,14.000000000000002
208,EM,Pseudomonadati,1,50,2.0
209,EM,Metazoa,36,50,72.0
210,EM,Fungi,5,50,10.0
211,EM,Methanobacteriati,1,50,2.0
212,SS,Bacillati,4,49,8.16326530612245
213,SS,Viridiplantae,23,49,46.93877551020408
214,SS,Fungi,2,49,4.081632653061225
215,SS,Metazoa,13,49,26.53061224489796
216,SS,Pseudomonadati,6,49,12.244897959183673
217,AS,Viridiplantae,26,48,54.166666666666664
218,AS,Pseudomonadati,1,48,2.083333333333333
219,AS,Fungi,6,48,12.5
220,AS,Metazoa,6,48,12.5
221,AS,Bacillati,1,48,2.083333333333333
222,IS,Pseudomonadati,1,43,2.3255813953488373
223,IS,Metazoa,4,43,9.30232558139535
224,IS,Fungi,2,43,4.651162790697675
225,IS,Bacillati,23,43,53.48837209302325
226,IS,Viridiplantae,13,43,30.23255813953488
227,,Bacillati,2,38,5.263157894736842
228,,Fungi,3,38,7.894736842105263
229,,Viridiplantae,2,38,5.263157894736842
230,,Metazoa,28,38,73.68421052631578
231,LS,Bacillati,3,35,8.571428571428571
232,LS,Metazoa,24,35,68.57142857142857
233,LS,Pseudomonadati,1,35,2.857142857142857
234,LS,Viridiplantae,7,35,20.0
235,RT,Pseudomonadati,1,33,3.0303030303030303
236,RT,Viridiplantae,8,33,24.242424242424242
237,RT,Fungi,7,33,21.21212121212121
238,RT,Bacillati,8,33,24.242424242424242
239,RT,Metazoa,5,33,15.151515151515152
240,EQ,Metazoa,29,31,93.54838709677419
241,EQ,Fungi,1,31,3.225806451612903
242,EQ,Bacillati,1,31,3.225806451612903
