SFID,count
2,1746
71,1696
107,1321
157,1122
6,921
51,900
125,859
3,855
4,754
620,734
52,662
86,565
82,564
72,538
154,475
105,462
26,420
9,412
153,397
1,391
92,391
505,385
81,371
58,370
11,356
94,353
136,351
152,349
65,335
19,331
570,324
79,324
716,316
189,315
78,307
76,306
150,304
108,299
61,299
7,288
504,287
83,281
73,278
74,272
8,270
89,260
124,258
707,247
190,245
165,244
98,243
109,237
53,228
87,225
208,222
90,215
187,210
88,209
93,209
734,207
704,201
130,195
706,187
116,186
159,182
68,159
158,156
46,155
144,155
5,152
12,151
20,148
39,145
512,138
193,138
188,137
5080,128
163,124
142,123
279,115
714,115
701,114
114,113
170,111
183,106
684,106
705,103
85,102
736,101
77,101
143,101
127,98
112,95
121,87
196,81
55,77
710,75
33,75
28,75
217,73
140,71
17,70
735,65
162,64
174,64
194,63
191,63
541,62
110,61
75,60
307,59
724,58
313,57
314,57
305,55
749,55
725,52
102,52
720,52
578,51
21,51
226,50
113,50
134,50
128,49
241,49
703,48
18,48
195,47
526,47
302,44
301,44
645,43
315,40
49,40
35,40
655,38
34,37
709,36
244,36
722,33
60,33
623,33
106,32
551,32
247,32
57,32
203,31
27,30
56,28
225,27
542,27
146,27
80,27
702,27
325,26
13,26
84,26
185,26
309,25
101,24
584,24
721,23
718,23
303,23
719,22
708,22
503,21
99,21
728,20
103,20
306,18
506,17
14,17
712,17
5262,17
321,17
561,17
264,16
317,15
723,15
120,15
25,15
111,13
715,13
318,13
311,13
337,13
147,12
333,12
133,12
5005,12
310,12
316,11
341,11
312,11
32,10
304,10
42,10
450,9
122,9
151,9
44,8
625,8
261,8
64,8
308,8
682,7
36,7
340,7
24,7
354,6
5012,6
511,6
29,6
31,6
135,6
276,5
167,5
176,5
249,5
334,5
37,5
5282,5
5293,5
356,5
269,5
345,5
808,4
5013,4
278,4
349,4
347,4
23,4
332,4
331,4
43,4
177,4
171,4
538,4
410,3
417,3
418,3
393,3
711,3
97,3
324,3
149,3
138,3
366,3
425,3
5002,3
5010,3
367,3
5008,3
411,3
245,2
660,2
260,2
262,2
263,2
338,2
339,2
805,2
5099,2
510,2
5202,2
160,2
750,2
628,2
5001,2
10,2
5011,2
528,2
405,2
412,2
5007,2
132,2
117,2
379,2
5003,1
5009,1
806,1
15,1
807,1
426,1
439,1
809,1
5060,1
726,1
319,1
336,1
353,1
524,1
397,1
265,1
413,1
5280,1
259,1
586,1
639,1
137,1
