acid_alc,acid,alc,king_cond,group_count,total_count,percentage,position1_groups,position2_groups
SP,S,P,Bacillati,1,11,9.090909090909092,alcohol,special
SP,S,P,Fungi,1,11,9.090909090909092,alcohol,special
SP,S,P,Metazoa,9,11,81.81818181818183,alcohol,special
TP,T,P,Fungi,1,3,33.33333333333333,alcohol,special
TP,T,P,Metazoa,2,3,66.66666666666666,alcohol,special
