acid_alc,acid,alc,king_cond,group_count,total_count,percentage,position1_groups,position2_groups
PN,P,N,Fungi,1,1,100,special,amide
YN,Y,N,Fungi,7,8,87.5,special,amide
YN,Y,N,Viridiplantae,1,8,12.5,special,amide
YQ,Y,Q,Fungi,1,1,100,special,amide
