acid_alc,acid,alc,king_cond,group_count,total_count,percentage,position1_groups,position2_groups
AR,A,R,Fungi,1,1,100,aliphatic,charged
LK,L,K,Fungi,1,3,33.33333333333333,aliphatic,charged
LK,L,K,Metazoa,2,3,66.66666666666666,aliphatic,charged
