SFID,count
2,2864
107,2438
4,1448
105,1294
102,1029
51,713
71,654
154,506
3,476
76,455
6,448
1,448
81,378
27,377
75,358
52,357
125,313
208,310
124,276
110,247
72,227
97,213
147,208
135,205
138,201
140,198
116,190
183,180
17,176
21,175
73,174
24,166
89,166
86,158
704,156
92,155
93,148
709,145
133,142
82,141
46,137
84,133
195,132
106,131
749,127
174,125
65,122
736,117
190,114
78,113
94,109
117,98
170,92
5,89
164,83
109,80
90,78
721,78
7,78
11,75
245,74
120,73
706,70
715,69
159,67
716,65
77,64
113,61
707,56
735,54
137,51
153,50
101,49
80,47
302,44
99,44
570,42
157,40
55,40
722,39
132,36
13,36
9,36
165,35
189,35
53,35
306,32
720,30
108,29
34,29
734,29
705,26
12,26
248,26
29,23
261,22
303,21
526,20
194,20
197,19
5005,19
718,18
724,18
278,17
714,16
112,16
83,16
88,14
8,14
175,13
49,12
130,11
33,11
37,10
143,9
23,8
136,8
305,8
264,8
20,7
504,7
128,7
167,7
134,6
127,6
750,5
87,5
712,5
311,5
150,5
276,5
119,5
617,5
149,4
61,4
703,4
58,3
274,3
620,3
728,3
324,2
710,2
225,2
511,2
263,2
26,2
196,2
10,2
557,1
684,1
98,1
122,1
111,1
509,1
366,1
5006,1
354,1
356,1
14,1
341,1
333,1
330,1
210,1
209,1
176,1
345,1
342,1
15,1
315,1
1050,1
