SFID,count
157,992
71,870
620,692
2,622
107,476
4,384
505,369
26,355
152,349
82,336
19,330
86,325
51,314
136,305
3,303
78,296
9,293
79,285
74,272
61,269
58,268
6,264
125,245
52,233
150,229
570,218
153,215
504,211
189,206
716,205
88,187
92,186
83,179
87,179
187,179
130,177
1,173
11,161
68,159
144,155
158,150
39,144
20,139
193,138
512,136
109,133
108,125
163,124
98,123
188,122
5080,121
8,118
90,118
94,117
165,116
190,115
701,114
114,113
76,105
85,102
734,100
142,100
72,97
105,97
279,97
684,96
81,90
65,89
121,87
124,81
154,77
196,76
208,75
12,73
28,73
714,71
89,67
217,67
170,66
706,65
127,62
191,62
541,62
7,62
162,60
307,59
53,58
314,57
725,52
578,51
93,51
226,50
313,50
159,49
241,49
33,48
301,44
703,44
645,43
35,39
655,38
128,38
705,37
244,36
736,35
707,35
710,35
623,33
724,32
551,32
247,32
203,31
21,30
46,30
73,30
183,29
102,29
56,28
146,27
542,27
134,27
702,27
185,26
309,25
225,24
305,24
584,24
5,24
18,23
60,23
719,22
708,22
143,21
325,21
503,21
110,20
103,20
140,19
75,19
722,18
704,18
17,18
315,18
506,17
5262,17
321,16
25,15
317,15
57,15
113,14
116,12
720,12
310,12
27,12
55,12
526,12
84,12
561,12
337,11
312,11
316,11
304,10
318,10
42,10
723,10
721,10
122,8
308,8
264,8
80,8
728,8
64,8
111,8
625,8
44,8
340,7
341,7
709,7
36,7
34,6
712,6
749,6
333,6
101,5
682,5
29,5
13,5
5293,5
5282,5
249,5
269,5
151,5
334,5
450,5
171,4
332,4
331,4
347,4
808,4
43,4
349,4
112,4
5013,4
711,3
99,3
97,3
425,3
418,3
367,3
393,3
149,3
5002,3
410,3
411,3
5012,3
77,3
510,2
511,2
628,2
160,2
49,2
5099,2
5001,2
5010,2
417,2
5202,2
528,2
106,2
660,2
194,2
14,2
338,2
405,2
339,2
5011,2
412,2
426,1
345,1
639,1
120,1
524,1
5280,1
366,1
538,1
379,1
397,1
354,1
260,1
306,1
147,1
809,1
24,1
356,1
413,1
5009,1
5060,1
735,1
807,1
336,1
174,1
135,1
137,1
