SFID,count
71,1391
2,1160
157,1101
107,921
620,731
125,706
3,685
6,682
4,568
51,518
82,494
52,466
86,457
26,418
9,386
505,385
72,372
58,368
153,359
152,349
136,346
19,331
79,324
92,320
154,319
11,312
1,307
189,305
150,300
105,297
78,296
61,295
94,294
716,289
570,284
504,280
108,277
74,272
83,268
8,262
98,242
81,241
165,230
65,223
87,221
7,217
187,210
190,207
53,207
90,199
88,197
76,196
707,193
124,191
109,188
130,187
89,186
734,186
68,159
93,158
158,156
144,155
706,154
39,145
20,142
208,142
512,138
193,138
188,137
5080,128
5,127
12,126
163,124
142,123
159,123
279,115
701,114
114,113
714,110
704,105
684,105
73,104
85,102
143,94
127,92
170,88
112,87
121,87
705,84
196,79
28,75
217,73
710,73
736,71
33,70
46,67
162,64
183,64
191,63
541,62
55,59
307,59
314,57
313,57
17,56
725,52
305,51
578,51
226,50
241,49
77,49
18,48
724,46
110,45
194,45
703,44
301,44
134,44
128,44
645,43
102,41
35,40
140,39
315,39
655,38
116,38
75,37
244,36
21,33
623,33
60,33
247,32
551,32
526,32
57,32
174,31
203,31
722,30
749,30
49,28
56,28
113,28
702,27
146,27
542,27
185,26
325,26
309,25
225,25
720,24
584,24
302,22
708,22
34,22
719,22
80,21
503,21
103,20
106,18
709,18
561,17
728,17
321,17
506,17
5262,17
13,17
27,16
14,16
84,16
303,16
712,15
25,15
317,15
723,15
721,14
318,13
337,13
111,13
735,13
310,12
264,12
333,12
718,12
312,11
316,11
32,10
341,10
42,10
304,10
101,10
151,9
450,9
625,8
122,8
64,8
44,8
306,8
311,8
308,8
340,7
120,7
36,7
682,7
31,6
5012,6
511,5
249,5
354,5
5293,5
5282,5
269,5
29,5
334,5
176,4
167,4
5013,4
43,4
332,4
133,4
356,4
538,4
171,4
278,4
808,4
345,4
347,4
349,4
331,4
177,4
149,3
5002,3
418,3
99,3
417,3
411,3
5010,3
97,3
5008,3
711,3
410,3
393,3
425,3
367,3
510,2
805,2
135,2
660,2
5202,2
5099,2
160,2
5001,2
412,2
262,2
260,2
339,2
338,2
24,2
528,2
366,2
628,2
379,2
37,2
405,2
5005,2
715,2
5007,2
5011,2
726,1
5009,1
807,1
809,1
138,1
750,1
397,1
586,1
353,1
639,1
147,1
5280,1
426,1
263,1
265,1
259,1
261,1
413,1
336,1
439,1
5003,1
23,1
5060,1
524,1
319,1
324,1
806,1
137,1
