SFID,count
71,1064
157,1055
2,798
620,724
107,640
4,446
6,440
3,432
82,406
26,401
86,384
125,378
505,374
51,360
152,349
52,341
136,335
9,334
19,331
79,314
58,301
78,296
61,289
153,288
189,277
74,272
150,270
11,263
570,254
92,248
716,242
504,238
1,237
83,232
98,215
87,208
187,207
108,200
72,197
94,195
88,189
53,185
130,179
165,178
105,177
90,169
109,167
8,166
154,160
68,159
158,156
144,155
65,152
124,147
39,145
20,140
190,139
512,138
193,138
76,138
734,137
188,134
81,134
5080,127
163,124
707,121
142,117
701,114
114,113
279,112
7,105
85,102
89,100
684,100
5,98
208,96
12,95
706,95
121,87
170,84
714,83
196,78
127,77
73,76
28,75
217,73
93,67
159,64
162,64
191,63
541,62
143,61
705,60
307,59
314,57
33,55
710,54
313,54
725,52
578,51
226,50
241,49
183,45
46,44
301,44
703,44
736,43
645,43
305,42
35,39
724,38
655,38
128,38
315,37
55,37
244,36
704,36
102,33
623,33
551,32
17,32
247,32
57,32
203,31
21,31
18,31
134,29
56,28
542,27
140,27
146,27
702,27
185,26
110,26
225,25
309,25
584,24
75,24
325,24
116,23
60,23
722,23
708,22
719,22
503,21
103,20
112,18
526,18
5262,17
506,17
720,17
321,16
113,16
317,15
25,15
561,14
318,13
337,13
749,13
712,13
723,12
80,12
27,12
310,12
84,12
316,11
312,11
13,10
42,10
709,10
304,10
721,10
264,10
49,9
34,9
122,8
151,8
44,8
308,8
728,8
77,8
735,8
111,8
194,8
333,8
450,8
625,8
64,8
341,7
36,7
340,7
5012,6
14,6
101,6
29,5
269,5
334,5
249,5
682,5
303,5
106,5
5282,5
5293,5
511,5
808,4
5013,4
331,4
32,4
43,4
349,4
347,4
171,4
332,4
5002,3
711,3
306,3
538,3
149,3
97,3
99,3
411,3
345,3
425,3
418,3
410,3
167,3
367,3
393,3
417,3
5011,2
660,2
528,2
628,2
339,2
338,2
5010,2
405,2
379,2
160,2
31,2
5099,2
356,2
412,2
5202,2
120,2
5001,2
510,2
133,2
147,1
135,1
5280,1
23,1
24,1
260,1
174,1
354,1
366,1
336,1
397,1
426,1
302,1
137,1
718,1
524,1
5009,1
413,1
639,1
262,1
5060,1
809,1
750,1
807,1
726,1
