SFID,count
2,3226
107,2719
4,1570
105,1414
102,1037
71,981
51,871
3,729
6,690
154,665
125,641
1,518
76,513
81,485
52,482
72,402
27,381
75,371
208,356
124,320
110,266
89,252
93,239
86,231
82,229
92,227
704,225
97,213
140,210
147,208
94,208
135,206
116,205
138,202
73,202
17,200
183,199
65,193
7,190
190,182
21,177
24,167
46,160
174,155
709,153
736,145
106,144
133,144
749,144
84,137
195,132
706,129
707,128
159,126
11,124
153,121
5,118
78,113
716,112
8,110
90,108
108,106
77,105
109,101
117,98
170,96
9,88
165,87
157,86
112,85
164,83
721,82
120,78
734,78
245,74
113,73
570,72
715,71
58,70
302,65
189,63
55,62
735,59
12,57
53,57
194,57
80,56
101,53
83,52
137,51
705,50
504,49
722,46
99,44
13,43
714,43
143,42
34,42
720,37
306,37
132,36
150,35
526,34
303,32
49,31
718,29
98,28
33,26
248,26
724,26
261,23
29,23
88,22
5005,21
710,21
278,21
134,21
127,21
136,19
197,19
26,19
130,19
87,18
305,17
18,17
128,13
175,13
311,13
37,12
728,12
505,11
14,11
79,10
620,10
60,10
61,10
264,10
20,9
167,8
23,8
712,7
684,6
142,6
32,6
111,6
750,5
333,5
176,5
276,5
617,5
119,5
354,5
341,4
703,4
31,4
149,4
177,4
561,3
263,3
723,3
356,3
5008,3
196,3
324,3
188,3
187,3
279,3
274,3
315,3
313,3
511,2
682,2
10,2
345,2
325,2
5007,2
805,2
366,2
225,2
259,1
260,1
319,1
806,1
557,1
35,1
353,1
1050,1
342,1
122,1
586,1
538,1
509,1
262,1
209,1
5080,1
210,1
5010,1
265,1
5006,1
5003,1
450,1
439,1
15,1
151,1
321,1
330,1
